#RPE1 sampleInfo			
#Fragment_File_Name	Cellcycle_Phase	replicates	Name_In_GEO
P285_09_1_mapq10_blacklist_fragment.Rdata	G1	rep1	RPE1_single_G1_01
P285_10_1_mapq10_blacklist_fragment.Rdata	G1	rep1	RPE1_single_G1_04
P285_12_1_mapq10_blacklist_fragment.Rdata	MidS	rep1	RPE1_single_MidS_01
P285_16_1_mapq10_blacklist_fragment.Rdata	MidS	rep1	RPE1_single_MidS_02
P285_19_1_mapq10_blacklist_fragment.Rdata	MidS	rep1	RPE1_single_MidS_03
P293_29_1_mapq10_blacklist_fragment.Rdata	G1	rep2	RPE1_single_G1_02
P293_30_1_mapq10_blacklist_fragment.Rdata	G1	rep2	RPE1_single_G1_05
P293_31_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_04
P293_32_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_15
P293_33_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_05
P293_34_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_06
P293_35_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_07
P293_37_1_mapq10_blacklist_fragment.Rdata	MidS	rep2	RPE1_single_MidS_16
P301_30_1_mapq10_blacklist_fragment.Rdata	G1	rep3	RPE1_single_G1_03
P301_31_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_08
P301_32_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_17
P301_33_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_09
P301_34_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_18
P301_35_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_19
P301_36_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_10
P301_37_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_11
P301_38_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_12
P301_39_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_13
P301_40_1_mapq10_blacklist_fragment.Rdata	MidS	rep3	RPE1_single_MidS_14
